Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
DS,Discover,Discover,6.4802E+15,Brenda D Peterson,689,Jan-17,Jan-22,4,1998,22700
DC,Diners Club International,Diners Club,3.02952E+13,Dawn U Reese,70,Dec-15,Dec-16,11,3915,12700
DC,Diners Club International,Diners Club,3.00825E+13,Helen P Perry,709,Feb-07,Feb-20,13,2319,81900
AX,American Express,Bank of America,3.4485E+14,Christine E Kim,3819,Aug-11,Aug-13,4,9017,77700
JC,Japan Credit Bureau,JCB,3.58339E+15,Elizabeth Z Lopez,913,Nov-17,Nov-26,22,66,38300
JC,Japan Credit Bureau,JCB,3.58739E+15,Nancy S Robles,217,Nov-15,Nov-29,12,2867,158000
AX,American Express,American Express,3.7076E+14,Jesse J Perez,3555,Jun-15,Jun-32,25,8493,68000
MC,Master Card,Wells Fargo,5.19545E+15,Jon O Reese,241,Jun-11,Jun-20,15,3907,41500
DC,Diners Club International,Diners Club,3.01363E+13,Jeremy P Price,82,Aug-16,Aug-28,26,7665,47800
DC,Diners Club International,Diners Club,3.02403E+13,Joe N Mccarty,509,Oct-15,Oct-27,12,5766,93300
JC,Japan Credit Bureau,JCB,3.53068E+15,Billy O Bell,769,Jan-13,Jan-14,25,5208,37300
MC,Master Card,Chase,5.19899E+15,Vincent M Fulton,220,Oct-13,Oct-22,24,23,95100
JC,Japan Credit Bureau,JCB,3.52931E+15,Sandra H Adams,885,Aug-13,Aug-22,6,3030,50500
VI,Visa,Chase,4.38108E+15,Edward Z Owen,487,Jan-10,Jan-15,3,1031,23300
VI,Visa,Capital One,4.74399E+15,Jimmy V Baker,585,Feb-16,Feb-19,15,7835,100300
JC,Japan Credit Bureau,JCB,3.55565E+15,Heather W Acosta,465,Feb-15,Feb-28,27,9382,13500
DC,Diners Club International,Diners Club,3.00745E+13,Louis Martinez,120,Jul-07,Jul-21,26,5735,19500
AX,American Express,American Express,3.41418E+14,Helen R Lucas,5798,Sep-17,Sep-20,1,3066,40100
MC,Master Card,Citibank,5.49033E+15,Henry T Miller,864,Dec-17,Dec-27,15,3782,135600
AX,American Express,American Express,3.45632E+14,Henry W Hewitt,525,May-11,May-23,25,7880,78700
JC,Japan Credit Bureau,JCB,3.54174E+15,Janet Alexander,494,Sep-17,Sep-23,20,3722,119300
DS,Discover,Discover,6.01157E+15,Jim X Ballard,56,Sep-10,Sep-29,1,1169,42900
DS,Discover,Discover,6.01127E+15,Howard X Nelson,469,Feb-13,Feb-30,20,5784,29500
VI,Visa,Chase,4.66406E+15,Eleanor Callahan,22,Mar-15,Mar-24,3,5442,167400
DC,Diners Club International,Diners Club,3.61106E+13,Lillian M Green,851,Feb-07,Feb-21,4,2833,18900
DC,Diners Club International,Diners Club,3.0179E+13,Judith I Rollins,583,Aug-14,Aug-31,24,937,85300
JC,Japan Credit Bureau,JCB,3.5878E+15,Jeffrey J Barnes,337,Aug-15,Aug-23,2,7675,155600
MC,Master Card,Capital One,5.39643E+15,Victor J Mercado,591,Sep-12,Sep-18,18,8687,27000
VI,Visa,Barclays,4.42746E+15,Justin Y Coleman,807,Jun-07,Jun-08,24,8844,154800
AX,American Express,USAA,3.45284E+14,Heather Wong,6812,Feb-12,Feb-20,6,8170,10700
DS,Discover,Discover,6.01118E+15,Marilyn E Coleman,294,Oct-16,Oct-24,26,2677,188300
MC,Master Card,Bank of America,5.27717E+15,Grace D Sparks,76,Jul-08,Jul-09,21,6076,170100
DS,Discover,Discover,6.0118E+15,Donna A Rodriguez,545,Apr-09,Apr-20,21,1992,189200
MC,Master Card,Barclays,5.23951E+15,Anita O Brennan,862,May-10,May-15,24,5281,83900
VI,Visa,Chase,4.39191E+15,Jack Foster,717,Mar-15,Mar-21,3,4177,57300
MC,Master Card,Capital One,5.22774E+15,Arthur Hines,374,Oct-13,Oct-23,24,5574,154800
DC,Diners Club International,Diners Club,3.03039E+13,Diane R Ross,937,May-11,May-18,16,4008,177200
JC,Japan Credit Bureau,JCB,3.54318E+15,Leonard K Browning,380,Nov-13,Nov-21,6,202,151400
MC,Master Card,Barclays,5.47807E+15,Nancy C Cox,756,Jun-12,Jun-16,24,9008,187600
MC,Master Card,Chase,5.20082E+15,Howard R Bernard,435,Jun-15,Jun-26,13,4804,143400
MC,Master Card,Barclays,5.31498E+15,Phyllis H Johnson,614,Mar-15,Mar-24,18,7650,71000
DS,Discover,Discover,6.01178E+15,Diane Carroll,619,Sep-13,Sep-26,26,7785,178700
VI,Visa,Chase,4.42919E+15,Stephen H Ramirez,432,Dec-07,Dec-14,14,3233,77000
