Card Type Code,Card Type Full Name,Issuing Bank,Card Number,Card Holder,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
DS,Discover,Discover,6.48E+15,Brenda D Peterson,689,Jan-17,Jan-22,4,1998,22700
DC,Diners Club International,Diners Club,3.03E+13,Dawn U Reese,70,Dec-15,Dec-16,11,3915,12700
DC,Diners Club International,Diners Club,3.01E+13,Helen P Perry,709,Feb-07,Feb-20,13,2319,81900
AX,American Express,Bank of America,3.45E+14,Christine E Kim,3819,Aug-11,Aug-13,4,9017,77700
JC,Japan Credit Bureau,JCB,3.58E+15,Elizabeth Z Lopez,913,Nov-17,Nov-26,22,66,38300
JC,Japan Credit Bureau,JCB,3.59E+15,Nancy S Robles,217,Nov-15,Nov-29,12,2867,158000
AX,American Express,American Express,3.71E+14,Jesse J Perez,3555,Jun-15,Jun-32,25,8493,68000
MC,Master Card,Wells Fargo,5.20E+15,Jon O Reese,241,Jun-11,Jun-20,15,3907,41500
DC,Diners Club International,Diners Club,3.01E+13,Jeremy P Price,82,Aug-16,Aug-28,26,7665,47800
DC,Diners Club International,Diners Club,3.02E+13,Joe N Mccarty,509,Oct-15,Oct-27,12,5766,93300
JC,Japan Credit Bureau,JCB,3.53E+15,Billy O Bell,769,Jan-13,Jan-14,25,5208,37300
MC,Master Card,Chase,5.20E+15,Vincent M Fulton,220,Oct-13,Oct-22,24,23,95100
JC,Japan Credit Bureau,JCB,3.53E+15,Sandra H Adams,885,Aug-13,Aug-22,6,3030,50500
VI,Visa,Chase,4.38E+15,Edward Z Owen,487,Jan-10,Jan-15,3,1031,23300
VI,Visa,Capital One,4.74E+15,Jimmy V Baker,585,Feb-16,Feb-19,15,7835,100300
JC,Japan Credit Bureau,JCB,3.56E+15,Heather W Acosta,465,Feb-15,Feb-28,27,9382,13500
DC,Diners Club International,Diners Club,3.01E+13,Louis Martinez,120,Jul-07,Jul-21,26,5735,19500
AX,American Express,American Express,3.41E+14,Helen R Lucas,5798,Sep-17,Sep-20,1,3066,40100
MC,Master Card,Citibank,5.49E+15,Henry T Miller,864,Dec-17,Dec-27,15,3782,135600
AX,American Express,American Express,3.46E+14,Henry W Hewitt,525,May-11,May-23,25,7880,78700
JC,Japan Credit Bureau,JCB,3.54E+15,Janet Alexander,494,Sep-17,Sep-23,20,3722,119300
DS,Discover,Discover,6.01E+15,Jim X Ballard,56,Sep-10,Sep-29,1,1169,42900
DS,Discover,Discover,6.01E+15,Howard X Nelson,469,Feb-13,Feb-30,20,5784,29500
VI,Visa,Chase,4.66E+15,Eleanor Callahan,22,Mar-15,Mar-24,3,5442,167400
DC,Diners Club International,Diners Club,3.61E+13,Lillian M Green,851,Feb-07,Feb-21,4,2833,18900
